pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
HALLMARK_UV_RESPONSE_UP	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.26929596	1.3532207	0.010989011	0.040342197	0.287	151	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	3098	tags=30%, list=17%, signal=36%		positive	TRUE	TRUE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3095916	-1.3682351	0.015402843	0.0628818	0.745	194	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3581	tags=32%, list=20%, signal=39%		negative	TRUE	FALSE
HALLMARK_TGF_BETA_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.37560242	-1.3691177	0.053857353	0.066432185	0.739	54	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	5145	tags=44%, list=28%, signal=62%		negative	TRUE	FALSE
HALLMARK_HEME_METABOLISM	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.31366867	-1.3700627	0.014545455	0.07061806	0.733	181	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	4999	tags=36%, list=27%, signal=49%		negative	TRUE	FALSE
HALLMARK_HEDGEHOG_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.41212478	-1.3704481	0.07373272	0.07582242	0.733	34	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3707	tags=44%, list=20%, signal=55%		negative	TRUE	FALSE
HALLMARK_COAGULATION	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.33245286	-1.374276	0.030150754	0.07876342	0.714	124	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3837	tags=35%, list=21%, signal=44%		negative	TRUE	FALSE
HALLMARK_KRAS_SIGNALING_DN	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3004353	-1.3089156	0.045949213	0.101215474	0.902	174	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	4221	tags=28%, list=23%, signal=36%		negative	TRUE	FALSE
HALLMARK_IL2_STAT5_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.29642954	-1.299859	0.034897715	0.103579715	0.916	193	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3414	tags=26%, list=19%, signal=32%		negative	TRUE	FALSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.31474206	-1.2526368	0.11246613	0.14655128	0.974	83	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3438	tags=30%, list=19%, signal=37%		negative	TRUE	FALSE
HALLMARK_ANGIOGENESIS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.377643	-1.2438467	0.16385911	0.14987224	0.982	33	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3395	tags=42%, list=19%, signal=52%		negative	TRUE	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.23361982	1.1807308	0.1017964	0.15797623	0.75	194	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	4103	tags=32%, list=23%, signal=41%		positive	TRUE	FALSE
HALLMARK_P53_PATHWAY	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.27224463	-1.2014365	0.12711865	0.19899525	0.995	190	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	4808	tags=36%, list=26%, signal=49%		negative	TRUE	FALSE
HALLMARK_PEROXISOME	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.28205872	-1.1572211	0.21409921	0.2506222	1	101	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	2781	tags=22%, list=15%, signal=26%		negative	FALSE	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.26283416	-1.1588765	0.17114915	0.2593515	1	196	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	5341	tags=36%, list=29%, signal=51%		negative	FALSE	FALSE
HALLMARK_APICAL_SURFACE	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3213508	-1.1298517	0.27936962	0.2863603	1	43	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	2399	tags=19%, list=13%, signal=21%		negative	FALSE	FALSE
HALLMARK_COMPLEMENT	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.25131762	-1.108646	0.26378897	0.29019547	1	190	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	3964	tags=26%, list=22%, signal=33%		negative	FALSE	FALSE
HALLMARK_NOTCH_SIGNALING	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.33818862	-1.1111076	0.3202417	0.29650912	1	32	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	4932	tags=47%, list=27%, signal=64%		negative	FALSE	FALSE
HALLMARK_APOPTOSIS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.26077887	-1.1166483	0.23320659	0.2979389	1	157	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	1682	tags=16%, list=9%, signal=17%		negative	FALSE	FALSE
HALLMARK_PANCREAS_BETA_CELLS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.32850137	-1.0590292	0.378882	0.37083578	1	32	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	2865	tags=25%, list=16%, signal=30%		negative	FALSE	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.25960132	1.0321609	0.382263	0.4374632	0.987	45	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	2123	tags=27%, list=12%, signal=30%		positive	FALSE	FALSE
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.25650612	-0.98043084	0.50068027	0.52472866	1	72	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	2530	tags=19%, list=14%, signal=22%		negative	FALSE	FALSE
HALLMARK_ANDROGEN_RESPONSE	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.24017483	-0.9670806	0.5206391	0.53736466	1	97	GSEA_Tumor_vs_Normal_Hallmark	neg	gsea_report_for_na_neg_1779214203917.tsv	5102	tags=32%, list=28%, signal=44%		negative	FALSE	FALSE
HALLMARK_ALLOGRAFT_REJECTION	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.18359686	0.9533554	0.60119045	0.6131766	1	190	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	2909	tags=16%, list=16%, signal=19%		positive	FALSE	FALSE
HALLMARK_ESTROGEN_RESPONSE_EARLY	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.18850909	0.9542869	0.6084337	0.64404434	1	190	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	2774	tags=20%, list=15%, signal=23%		positive	FALSE	FALSE
HALLMARK_PROTEIN_SECRETION	Hallmark	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.18571433	0.85639125	0.8153846	0.8272927	1	95	GSEA_Tumor_vs_Normal_Hallmark	pos	gsea_report_for_na_pos_1779214203917.tsv	3983	tags=26%, list=22%, signal=34%		positive	FALSE	FALSE
