pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
GOBP_PHOTOPERIODISM	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3093497	-0.966175	0.4968652	0.66991144	1	27	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2790	tags=22%, list=15%, signal=26%		negative	FALSE	FALSE
GOBP_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.2686621	0.98528296	0.46103895	0.67059827	1	33	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	4158	tags=33%, list=23%, signal=43%		positive	FALSE	FALSE
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.22581476	0.9858385	0.47924528	0.6707169	1	63	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	3329	tags=27%, list=18%, signal=33%		positive	FALSE	FALSE
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.24278821	-0.96565264	0.53519255	0.6708171	1	87	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	3358	tags=21%, list=18%, signal=25%		negative	FALSE	FALSE
GOBP_T_HELPER_17_TYPE_IMMUNE_RESPONSE	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.22245212	0.9854328	0.50364965	0.67103475	1	70	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2607	tags=23%, list=14%, signal=27%		positive	FALSE	FALSE
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.22913033	-0.96540815	0.54695433	0.67104715	1	142	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	5458	tags=35%, list=30%, signal=50%		negative	FALSE	FALSE
GOBP_SUPPRESSION_OF_VIRAL_RELEASE_BY_HOST	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.33731332	0.9847676	0.471464	0.6711512	1	15	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2440	tags=27%, list=13%, signal=31%		positive	FALSE	FALSE
GOBP_RESPONSE_TO_DSRNA	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.28904992	-0.9641969	0.5185185	0.6716502	1	38	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2102	tags=21%, list=12%, signal=24%		negative	FALSE	FALSE
GOBP_PROTEIN_O_LINKED_GLYCOSYLATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.22918601	-0.96398276	0.53643215	0.67181706	1	132	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2955	tags=17%, list=16%, signal=21%		negative	FALSE	FALSE
GOBP_REGULATION_OF_VACUOLE_ORGANIZATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.26096958	-0.9649362	0.5062413	0.67181975	1	57	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	3261	tags=21%, list=18%, signal=26%		negative	FALSE	FALSE
