pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GO_BP	ERpositive_vs_ERnegative	-0.53812844	-2.1783247	0	0.0015697574	0.026	61	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3846	tags=49%, list=21%, signal=62%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION	GO_BP	ERpositive_vs_ERnegative	61	0	0.0015697574	0.0015697574	0.026	3846	tags=49%, list=21%, signal=62%	2.80416746095533	49	21	62	ERpositive_vs_ERnegative::GO_BP::GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	GO_BP	ERpositive_vs_ERnegative	-0.5122591	-2.20115	0	0.0016366601	0.019	86	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4470	tags=50%, list=25%, signal=66%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	GO_BP	ERpositive_vs_ERnegative	86	0	0.0016366601	0.0016366601	0.019	4470	tags=50%, list=25%, signal=66%	2.78604150508518	50	25	66	ERpositive_vs_ERnegative::GO_BP::GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE
GOBP_DNA_REPLICATION	GO_BP	ERpositive_vs_ERnegative	-0.41820717	-2.1583111	0	0.0021299487	0.037	270	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4719	tags=44%, list=26%, signal=59%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_DNA_REPLICATION	GOBP_DNA_REPLICATION	GO_BP	ERpositive_vs_ERnegative	270	0	0.0021299487	0.0021299487	0.037	4719	tags=44%, list=26%, signal=59%	2.67163085645573	44	26	59	ERpositive_vs_ERnegative::GO_BP::GOBP_DNA_REPLICATION
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	-0.440674	-2.1553588	0	0.0021420505	0.039	181	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2562	tags=36%, list=14%, signal=41%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	181	0	0.0021420505	0.0021420505	0.039	2562	tags=36%, list=14%, signal=41%	2.66917029465598	36	14	41	ERpositive_vs_ERnegative::GO_BP::GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GO_BP	ERpositive_vs_ERnegative	-0.49905774	-2.1503034	0	0.0022076492	0.042	88	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5072	tags=56%, list=28%, signal=77%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	GO_BP	ERpositive_vs_ERnegative	88	0	0.0022076492	0.0022076492	0.042	5072	tags=56%, list=28%, signal=77%	2.65606993574719	56	28	77	ERpositive_vs_ERnegative::GO_BP::GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	-0.5251442	-2.13751	0	0.0026235098	0.052	69	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2500	tags=39%, list=14%, signal=45%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	69	0	0.0026235098	0.0026235098	0.052	2500	tags=39%, list=14%, signal=45%	2.58111730917558	39	14	45	ERpositive_vs_ERnegative::GO_BP::GOBP_MEIOTIC_CHROMOSOME_SEGREGATION
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	GO_BP	ERpositive_vs_ERnegative	-0.5538261	-2.1314332	0	0.0026977118	0.058	48	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	7023	tags=85%, list=39%, signal=139%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	GO_BP	ERpositive_vs_ERnegative	48	0	0.0026977118	0.0026977118	0.058	7023	tags=85%, list=39%, signal=139%	2.56900444842065	85	39	139	ERpositive_vs_ERnegative::GO_BP::GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION
GOBP_MITOTIC_DNA_REPLICATION	GO_BP	ERpositive_vs_ERnegative	-0.7099491	-2.133087	0	0.0027579542	0.057	17	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2456	tags=59%, list=14%, signal=68%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_MITOTIC_DNA_REPLICATION	GOBP_MITOTIC_DNA_REPLICATION	GO_BP	ERpositive_vs_ERnegative	17	0	0.0027579542	0.0027579542	0.057	2456	tags=59%, list=14%, signal=68%	2.55941295021689	59	14	68	ERpositive_vs_ERnegative::GO_BP::GOBP_MITOTIC_DNA_REPLICATION
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	-0.41557232	-2.1296325	0	0.0027779485	0.062	280	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2562	tags=33%, list=14%, signal=37%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GO_BP	ERpositive_vs_ERnegative	280	0	0.0027779485	0.0027779485	0.062	2562	tags=33%, list=14%, signal=37%	2.55627580984863	33	14	37	ERpositive_vs_ERnegative::GO_BP::GOBP_NUCLEAR_CHROMOSOME_SEGREGATION
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	GO_BP	ERpositive_vs_ERnegative	-0.6048968	-2.126316	0	0.0029799193	0.068	32	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	2371	tags=53%, list=13%, signal=61%		GSEA_ERpositive_vs_ERnegative_GO_BP	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION	GO_BP	ERpositive_vs_ERnegative	32	0	0.0029799193	0.0029799193	0.068	2371	tags=53%, list=13%, signal=61%	2.52579549701074	53	13	61	ERpositive_vs_ERnegative::GO_BP::GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION
