gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
CDC123	0.502581221513219	10.1938696944674	8.92308111831951	1.63631219472016e-18	5.39313327488356e-18	30.6442400497939	CDC123	CDC123	1.63631219472016e-18	5.39313327488356e-18	8.92308111831951	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
COMMD6	-0.552481889203403	10.1428473162675	-8.92231471354544	1.64700454096845e-18	5.42739138975661e-18	30.6378104017067	COMMD6	COMMD6	1.64700454096845e-18	5.42739138975661e-18	-8.92231471354544	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
GPR110	-1.99695380143613	3.18070289017341	-8.9214154574265	1.65971476888299e-18	5.46828544418363e-18	30.6302231397067	GPR110	GPR110	1.65971476888299e-18	5.46828544418363e-18	-8.9214154574265	RNAseq	TRUE	Normal_up	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
C3orf21	0.499231453405634	8.45010280759703	8.91993530640111	1.68052366034558e-18	5.53584264584426e-18	30.6179189547137	C3orf21	C3orf21	1.68052366034558e-18	5.53584264584426e-18	8.91993530640111	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
MARK4	0.45302235842572	9.67103492981007	8.91749207382215	1.71567404444553e-18	5.65060941167366e-18	30.597481974533	MARK4	MARK4	1.71567404444553e-18	5.65060941167366e-18	8.91749207382215	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
TBC1D14	-0.49298810871754	10.6342492981007	-8.91653168315147	1.72968919088897e-18	5.69573788206607e-18	30.5894499101909	TBC1D14	TBC1D14	1.72968919088897e-18	5.69573788206607e-18	-8.91653168315147	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
RFC5	0.487399608981447	8.55365144508671	8.91590083289216	1.73895683299192e-18	5.72490043437173e-18	30.5841743139127	RFC5	RFC5	1.73895683299192e-18	5.72490043437173e-18	8.91590083289216	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
DLEU1	0.650844882374593	6.3096701073493	8.91588606145626	1.7391744231671e-18	5.72490043437173e-18	30.584050789103	DLEU1	DLEU1	1.7391744231671e-18	5.72490043437173e-18	8.91588606145626	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
C15orf44	0.326588935533911	9.99904393063584	8.91552556678197	1.74449303148603e-18	5.7413694707135e-18	30.5810362403033	C15orf44	C15orf44	1.74449303148603e-18	5.7413694707135e-18	8.91552556678197	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
RGPD4	-0.524806195525263	7.18781156069364	-8.91424312819587	1.76354435591248e-18	5.80302066129219e-18	30.5703130268083	RGPD4	RGPD4	1.76354435591248e-18	5.80302066129219e-18	-8.91424312819587	RNAseq	FALSE	not_significant	Tumor_vs_Normal	Normal	Tumor - Normal	limma_trend_robust_on_xena_log2_expression
