sample	correlation	sample_ordered	median_r	n_shared_samples	n_shared_features	n_features_used
TCGA-D8-A1XJ-01	0.326738204324411	TCGA-D8-A1XJ-01	0.233779438951853	637	149	146
TCGA-A8-A09W-01	0.32650040643349	TCGA-A8-A09W-01	0.233779438951853	637	149	146
TCGA-E2-A15T-01	0.324811053377421	TCGA-E2-A15T-01	0.233779438951853	637	149	146
TCGA-E2-A153-01	0.324622106754842	TCGA-E2-A153-01	0.233779438951853	637	149	146
TCGA-A8-A08J-01	0.32330570314307	TCGA-A8-A08J-01	0.233779438951853	637	149	146
TCGA-A2-A0CM-01	0.322630611941791	TCGA-A2-A0CM-01	0.233779438951853	637	149	146
TCGA-A2-A1FX-01	0.322623427826847	TCGA-A2-A1FX-01	0.233779438951853	637	149	146
TCGA-B6-A0X0-01	0.321744607148481	TCGA-B6-A0X0-01	0.233779438951853	637	149	146
TCGA-D8-A13Y-01	0.321461503564066	TCGA-D8-A13Y-01	0.233779438951853	637	149	146
TCGA-A8-A091-01	0.321280113367974	TCGA-A8-A091-01	0.233779438951853	637	149	146
TCGA-AN-A0AK-01	0.32123972968884	TCGA-AN-A0AK-01	0.233779438951853	637	149	146
TCGA-D8-A1JT-01	0.321103931661535	TCGA-D8-A1JT-01	0.233779438951853	637	149	146
TCGA-D8-A1XV-01	0.320768991950432	TCGA-D8-A1XV-01	0.233779438951853	637	149	146
TCGA-AO-A0JL-01	0.320097543790054	TCGA-AO-A0JL-01	0.233779438951853	637	149	146
TCGA-E2-A1L7-01	0.320042601077084	TCGA-E2-A1L7-01	0.233779438951853	637	149	146
TCGA-D8-A1X6-01	0.319651072714446	TCGA-D8-A1X6-01	0.233779438951853	637	149	146
TCGA-E9-A22D-01	0.319367414195	TCGA-E9-A22D-01	0.233779438951853	637	149	146
TCGA-D8-A1XS-01	0.319341932606409	TCGA-D8-A1XS-01	0.233779438951853	637	149	146
TCGA-A2-A0T1-01	0.319314516050288	TCGA-A2-A0T1-01	0.233779438951853	637	149	146
TCGA-E2-A15A-01	0.319200046449578	TCGA-E2-A15A-01	0.233779438951853	637	149	146
TCGA-GM-A2DC-01	0.319018084376502	TCGA-GM-A2DC-01	0.233779438951853	637	149	146
