gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
CD24	-1.13237723440449	14.0357391025641	-7.74323377105965	2.99980895649937e-14	1.07054205851136e-13	21.2177049296715	CD24	CD24	2.99980895649937e-14	1.07054205851136e-13	-7.74323377105965	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
BTNL9	0.959508564868598	5.87554884615385	7.74183581960009	3.03047440001733e-14	1.08127278878005e-13	21.207705425788	BTNL9	BTNL9	3.03047440001733e-14	1.08127278878005e-13	7.74183581960009	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
C14orf102	0.310207461493417	8.00723782051282	7.74027571432274	3.06478861453375e-14	1.09330092075723e-13	21.1966310753468	C14orf102	C14orf102	3.06478861453375e-14	1.09330092075723e-13	7.74027571432274	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
EPHB4	-0.511565402169591	11.0765261538462	-7.73841379165476	3.1073310490668e-14	1.10825899249522e-13	21.1830895057252	EPHB4	EPHB4	3.1073310490668e-14	1.10825899249522e-13	-7.73841379165476	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
NPB	-0.854591326374106	1.27414653846154	-7.73801200374041	3.11617575591475e-14	1.11119493074309e-13	21.1802911062605	NPB	NPB	3.11617575591475e-14	1.11119493074309e-13	-7.73801200374041	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GNG4	-1.54483517229199	5.24482435897436	-7.73735345219258	3.13148945869449e-14	1.11623551269655e-13	21.1754769946831	GNG4	GNG4	3.13148945869449e-14	1.11623551269655e-13	-7.73735345219258	RNAseq	TRUE	ER_negative_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TRUB1	0.348501197259679	9.2963508974359	7.73732593679679	3.13154273130049e-14	1.11623551269655e-13	21.1754512866543	TRUB1	TRUB1	3.13154273130049e-14	1.11623551269655e-13	7.73732593679679	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ABHD12B	1.4672603909685	2.42481333333333	7.73664273146688	3.1477857776521e-14	1.12180476436121e-13	21.1703750074115	ABHD12B	ABHD12B	3.1477857776521e-14	1.12180476436121e-13	7.73664273146688	RNAseq	TRUE	ER_positive_up	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
CALHM2	0.416875453387735	9.07294307692308	7.73437986540494	3.1996425027854e-14	1.14006129978374e-13	21.154305018396	CALHM2	CALHM2	3.1996425027854e-14	1.14006129978374e-13	7.73437986540494	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
PDE6A	-0.644054014259288	1.3493241025641	-7.73423634835572	3.20299698032095e-14	1.1410322707062e-13	21.1532750602296	PDE6A	PDE6A	3.20299698032095e-14	1.1410322707062e-13	-7.73423634835572	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
