pathway	collection	comparison	ES	NES	pvalue	padj	FWER	size	direction	method	source	rank_metric	report_side	rank_at_max	leading_edge	core_enrichment	output_label	source_file	significant_fdr_0_25	significant_fdr_0_05	NAME	NAME_KEY	COLLECTION	COMPARISON	SIZE	NOM p-val	FDR	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	Log10FDR	tags	list	signal	PA_ID
HALLMARK_UV_RESPONSE_UP	Hallmark	ERpositive_vs_ERnegative	-0.29869506	-1.424424	0.008281574	0.033200294	0.365	151	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4011	tags=34%, list=22%, signal=43%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Hallmark	ERpositive_vs_ERnegative	151	0.008281574	0.033200294	0.033200294	0.365	4011	tags=34%, list=22%, signal=43%	1.47885807045222	34	22	43	ERpositive_vs_ERnegative::Hallmark::HALLMARK_UV_RESPONSE_UP
HALLMARK_CHOLESTEROL_HOMEOSTASIS	Hallmark	ERpositive_vs_ERnegative	-0.33353156	-1.392737	0.03557312	0.04016754	0.444	72	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	3543	tags=35%, list=20%, signal=43%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	TRUE	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Hallmark	ERpositive_vs_ERnegative	72	0.03557312	0.04016754	0.04016754	0.444	3543	tags=35%, list=20%, signal=43%	1.39612476516004	35	20	43	ERpositive_vs_ERnegative::Hallmark::HALLMARK_CHOLESTEROL_HOMEOSTASIS
HALLMARK_KRAS_SIGNALING_UP	Hallmark	ERpositive_vs_ERnegative	-0.26829866	-1.3394165	0.027504912	0.0590662	0.605	191	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5036	tags=39%, list=28%, signal=54%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	FALSE	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Hallmark	ERpositive_vs_ERnegative	191	0.027504912	0.0590662	0.0590662	0.605	5036	tags=39%, list=28%, signal=54%	1.2286609684027	39	28	54	ERpositive_vs_ERnegative::Hallmark::HALLMARK_KRAS_SIGNALING_UP
HALLMARK_NOTCH_SIGNALING	Hallmark	ERpositive_vs_ERnegative	-0.38446102	-1.3439654	0.092	0.06012968	0.594	32	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	1995	tags=34%, list=11%, signal=39%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	FALSE	HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Hallmark	ERpositive_vs_ERnegative	32	0.092	0.06012968	0.06012968	0.594	1995	tags=34%, list=11%, signal=39%	1.22091110739022	34	11	39	ERpositive_vs_ERnegative::Hallmark::HALLMARK_NOTCH_SIGNALING
HALLMARK_COMPLEMENT	Hallmark	ERpositive_vs_ERnegative	-0.2693967	-1.3267517	0.031055901	0.06280516	0.649	190	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5525	tags=41%, list=30%, signal=58%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	FALSE	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Hallmark	ERpositive_vs_ERnegative	190	0.031055901	0.06280516	0.06280516	0.649	5525	tags=41%, list=30%, signal=58%	1.20200467365983	41	30	58	ERpositive_vs_ERnegative::Hallmark::HALLMARK_COMPLEMENT
HALLMARK_IL2_STAT5_SIGNALING	Hallmark	ERpositive_vs_ERnegative	-0.26897386	-1.3148223	0.027600849	0.06608875	0.691	193	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	5440	tags=43%, list=30%, signal=61%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	FALSE	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Hallmark	ERpositive_vs_ERnegative	193	0.027600849	0.06608875	0.06608875	0.691	5440	tags=43%, list=30%, signal=61%	1.17987246228052	43	30	61	ERpositive_vs_ERnegative::Hallmark::HALLMARK_IL2_STAT5_SIGNALING
HALLMARK_INTERFERON_ALPHA_RESPONSE	Hallmark	ERpositive_vs_ERnegative	-0.2883454	-1.2744383	0.08032128	0.09005887	0.81	92	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	6250	tags=45%, list=34%, signal=68%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	FALSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Hallmark	ERpositive_vs_ERnegative	92	0.08032128	0.09005887	0.09005887	0.81	6250	tags=45%, list=34%, signal=68%	1.04547350658298	45	34	68	ERpositive_vs_ERnegative::Hallmark::HALLMARK_INTERFERON_ALPHA_RESPONSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	Hallmark	ERpositive_vs_ERnegative	-0.2804315	-1.2498235	0.09090909	0.10342547	0.856	101	negative	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	neg	4539	tags=35%, list=25%, signal=46%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_neg_1779214203280.tsv	TRUE	FALSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Hallmark	ERpositive_vs_ERnegative	101	0.09090909	0.10342547	0.10342547	0.856	4539	tags=35%, list=25%, signal=46%	0.985372496848281	35	25	46	ERpositive_vs_ERnegative::Hallmark::HALLMARK_PI3K_AKT_MTOR_SIGNALING
HALLMARK_UV_RESPONSE_DN	Hallmark	ERpositive_vs_ERnegative	0.28629506	1.3545443	0.025490196	0.11909455	0.575	136	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	5043	tags=40%, list=28%, signal=56%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_pos_1779214203280.tsv	TRUE	FALSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Hallmark	ERpositive_vs_ERnegative	136	0.025490196	0.11909455	0.11909455	0.575	5043	tags=40%, list=28%, signal=56%	0.924108112229083	40	28	56	ERpositive_vs_ERnegative::Hallmark::HALLMARK_UV_RESPONSE_DN
HALLMARK_PROTEIN_SECRETION	Hallmark	ERpositive_vs_ERnegative	0.31371412	1.371509	0.031189084	0.1293895	0.524	95	positive	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	pos	3948	tags=35%, list=22%, signal=44%		GSEA_ERpositive_vs_ERnegative_Hallmark	gsea_report_for_na_pos_1779214203280.tsv	TRUE	FALSE	HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Hallmark	ERpositive_vs_ERnegative	95	0.031189084	0.1293895	0.1293895	0.524	3948	tags=35%, list=22%, signal=44%	0.888100965375831	35	22	44	ERpositive_vs_ERnegative::Hallmark::HALLMARK_PROTEIN_SECRETION
